name,season,age,actual_war,predicted_war,error,abs_error,yr_ahead
Manny Machado,2023,30,2.7,3.85,1.15,1.15,1
Manny Machado,2024,31,3.1,3.06,-0.04,0.04,2
Manny Machado,2025,32,4.1,2.86,-1.24,1.24,3
Manuel Margot,2023,28,0.6,1.68,1.08,1.08,1
Marcell Ozuna,2023,32,3.4,2.38,-1.02,1.02,1
Marcell Ozuna,2024,33,4.3,2.29,-2.01,2.01,2
Marcell Ozuna,2025,34,1.6,2.18,0.58,0.58,3
Marcus Semien,2023,32,7.7,4.14,-3.56,3.56,1
Marcus Semien,2024,33,4.5,3.4,-1.1,1.1,2
Marcus Semien,2025,34,3.3,3.15,-0.15,0.15,3
Mark Canha,2023,34,2.2,1.5,-0.7,0.7,1
Mark Canha,2024,35,0.5,1.28,0.78,0.78,2
Matt Chapman,2023,30,4.3,2.22,-2.08,2.08,1
Matt Chapman,2024,31,7.1,2.02,-5.08,5.08,2
Matt Chapman,2025,32,4.1,1.93,-2.17,2.17,3
Matt Duffy,2023,32,0.2,1.44,1.24,1.24,1
Matt Olson,2023,29,7.5,3.1,-4.4,4.4,1
Matt Olson,2024,30,3.9,2.78,-1.12,1.12,2
Matt Olson,2025,31,6.0,2.46,-3.54,3.54,3
Mauricio DubÃ³n,2023,28,2.7,1.01,-1.69,1.69,1
Mauricio DubÃ³n,2024,29,1.0,0.9,-0.1,0.1,2
Mauricio DubÃ³n,2025,30,1.7,0.88,-0.82,0.82,3
Max Kepler,2023,30,2.8,1.92,-0.88,0.88,1
Max Kepler,2024,31,1.0,1.87,0.87,0.87,2
Max Kepler,2025,32,0.1,1.8,1.7,1.7,3
Max Muncy,2023,32,2.9,2.16,-0.74,0.74,1
Max Muncy,2024,33,3.0,1.94,-1.06,1.06,2
Max Muncy,2025,34,3.6,1.89,-1.71,1.71,3
Michael A. Taylor,2023,32,1.9,1.5,-0.4,0.4,1
Michael A. Taylor,2024,33,0.9,1.1,0.2,0.2,2
