name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Ildemaro Vargas,2023,31,0.8,1.28,0.48,0.48,1
Ildemaro Vargas,2025,33,0.2,1.15,0.95,0.95,3
Isiah Kiner-Falefa,2023,28,0.0,2.93,2.93,2.93,1
Isiah Kiner-Falefa,2024,29,3.5,2.8,0.7,-0.7,2
Isiah Kiner-Falefa,2025,30,1.6,2.57,0.97,0.97,3
J.D. Davis,2023,30,0.9,0.87,0.03,-0.03,1
J.D. Martinez,2023,35,2.0,1.62,0.38,-0.38,1
J.D. Martinez,2024,36,0.5,1.6,1.1,1.1,2
J.P. Crawford,2023,28,5.2,2.77,2.43,-2.43,1
J.P. Crawford,2024,29,2.7,2.67,0.03,-0.03,2
J.P. Crawford,2025,30,3.8,2.4,1.4,-1.4,3
J.T. Realmuto,2023,32,3.5,3.93,0.43,0.43,1
J.T. Realmuto,2024,33,2.9,3.26,0.36,0.36,2
J.T. Realmuto,2025,34,2.5,3.07,0.57,0.57,3
Jacob Stallings,2024,34,1.7,1.19,0.51,-0.51,2
Jake Cronenworth,2023,29,0.8,3.32,2.52,2.52,1
Jake Cronenworth,2024,30,1.9,3.05,1.15,1.15,2
Jake Cronenworth,2025,31,2.4,2.95,0.55,0.55,3
Jake Fraley,2023,28,0.8,1.11,0.31,0.31,1
Jake Fraley,2024,29,0.3,1.12,0.82,0.82,2
Jake Fraley,2025,30,0.3,1.03,0.73,0.73,3
Jake Lamb,2023,32,0.1,1.4,1.3,1.3,1
Jake Marisnick,2023,32,0.4,0.68,0.28,0.28,1
Jake Marisnick,2023,32,0.4,0.68,0.28,0.28,1
Jake McCarthy,2023,25,0.4,1.68,1.28,1.28,1
Jake McCarthy,2024,26,1.6,1.64,0.04,0.04,2
Jake Meyers,2023,27,1.5,0.79,0.71,-0.71,1
Jake Meyers,2024,28,1.5,0.7,0.8,-0.8,2
Jake Meyers,2025,29,2.4,0.68,1.72,-1.72,3
James McCann,2023,33,0.5,1.3,0.8,0.8,1
James McCann,2024,34,0.7,1.07,0.37,0.37,2
James McCann,2025,35,1.0,0.97,0.03,-0.03,3
Jason Heyward,2023,33,1.9,1.56,0.34,-0.34,1
Jason Heyward,2024,34,1.1,1.61,0.51,0.51,2
Javier BÃ¡ez,2023,30,0.8,1.67,0.87,0.87,1
Javier BÃ¡ez,2025,32,1.9,1.57,0.33,-0.33,3
Jazz Chisholm Jr.,2023,25,1.0,1.79,0.79,0.79,1
Jazz Chisholm Jr.,2024,26,2.9,1.67,1.23,-1.23,2
Jazz Chisholm Jr.,2025,27,4.2,1.55,2.65,-2.65,3
Jeff McNeil,2023,31,2.4,2.99,0.59,0.59,1
Jeff McNeil,2024,32,1.5,2.8,1.3,1.3,2
Jeff McNeil,2025,33,2.0,2.63,0.63,0.63,3
Jeimer Candelario,2023,29,3.3,2.04,1.26,-1.26,1
