player_id,name,position,bats,height_in,weight_lbs,sprint_speed,bmi,ISO,BB_pct,K_pct,wRC_plus,Def,BsR,OBP,SLG,contact_rate,power_speed,HR_rate,SB_rate,Rtot,Rdrs,peak_WAR,career_WAR,career_seasons,WAR_3yr_avg,debut_age,final_age,archetype_id,pca_x,pca_y,archetype_label
66,Alejandro De Aza,RF,R,73.5,215,30.7675,28.0,0.1525,0.083125,0.207625,117.125,-4.5,0.25,0.348875,0.43475,0.792375,4.6917124999999995,0.017812500000000002,0.038925,-2.125,-5.125,2.5,15.7,8,1.96625,27,31,3,1.3237443695963909,0.3024654244598449,Power Contact Hitter
67,Alejandro Kirk,C,R,72.5,210,26.912,28.1,0.1356,0.1006,0.11579999999999999,108.2,6.2,-3.8,0.3402,0.3978,0.8842000000000001,3.6504800000000004,0.027139999999999997,0.00047999999999999996,3.8,9.0,4.0,21.2,10,2.02,22,25,3,-0.5394038319139235,-3.628536738867098,Power Contact Hitter
68,Alek Thomas,CF,R,72.5,195,29.543333333333333,26.1,0.12566666666666668,0.04866666666666667,0.218,74.33333333333333,5.666666666666667,1.3333333333333333,0.27899999999999997,0.3626666666666667,0.782,3.711066666666666,0.021433333333333332,0.0165,8.0,1.6666666666666667,1.4,6.8,6,1.2,22,23,5,-3.344675293725108,-0.3830774842496485,Speedy Slap Hitter
69,Alen Hanson,DH,R,74.0,230,29.59,29.5,0.173,0.028999999999999998,0.22899999999999998,90.0,-4.0,2.0,0.274,0.425,0.771,5.1191,0.0258,0.0226,-2.0,-4.0,0.5,1.0,2,0.5,25,25,1,-0.6992313695973742,1.5521803119307431,High-K Power Threat
70,Alex Arias,DH,R,74.0,230,27.15,29.5,0.109,0.10800000000000001,0.139,86.0,-2.0,1.0,0.312,0.336,0.861,2.9593,0.0127,0.0063,-2.0,0.0,0.1,0.2,2,0.1,33,33,5,-1.9499287205790632,-1.440115726636857,Speedy Slap Hitter
71,Alex Avila,C,R,72.5,210,28.119999999999997,28.1,0.15433333333333332,0.1352857142857143,0.2830952380952381,100.93050193050192,0.3333333333333333,-1.619047619047619,0.343,0.3912857142857143,0.7169047619047619,4.339228571428571,0.054895238095238094,0.012895238095238095,0.9523809523809523,-0.2857142857142857,5.6,33.4,21,1.5861904761904764,22,34,1,1.019249428726322,0.4873671323616186,High-K Power Threat
72,Alex Blandino,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,102.0,0.0,0.0,0.32,0.42,0.785,4.725,0.3,0.1,0.0,0.0,0.2,0.4,2,0.2,26,26,0,-0.8535558707365878,3.3188680490896516,Bench/Utility Role
73,Alex Bregman,3B,R,73.5,210,28.281,27.3,0.2063,0.11400000000000002,0.1427,128.6,3.4,-0.5,0.3591,0.476,0.8573000000000001,5.84211,0.03695,0.0072,3.4,3.0,8.9,89.0,20,4.3100000000000005,22,30,4,2.86310976307607,-3.04023438844257,Franchise Cornerstone
74,Alex Call,DH,R,74.0,230,30.601428571428574,29.5,0.12885714285714284,0.103,0.19185714285714286,101.29464606909028,4.0,-1.4285714285714286,0.32799999999999996,0.3777142857142857,0.8081428571428572,3.9421,0.055085714285714286,0.0227,0.8571428571428571,2.2857142857142856,1.5,7.7,7,1.0642857142857143,27,29,5,-1.0044953537233383,-0.42747734987888064,Speedy Slap Hitter
75,Alex CintrÃ³n,SS,R,72.5,190,28.82,25.4,0.172,0.06,0.068,118.0,-5.0,2.0,0.359,0.489,0.932,4.957,0.0267,0.0041,-4.0,-5.0,2.7,5.4,2,2.7,24,24,3,1.9575752947960499,-2.758305805839281,Power Contact Hitter
76,Alex Dickerson,DH,R,74.0,230,27.336000000000002,29.5,0.233,0.0876,0.1762,131.6,-3.0,-0.4,0.348,0.5102,0.8238,6.33078,0.04088,0.00756,-1.4,-3.2,1.3,4.9,5,1.02,26,30,4,3.763764485400638,-0.6114463003541603,Franchise Cornerstone
77,Alex Gonzalez,SS,R,72.5,190,29.433999999999997,25.4,0.157,0.0722,0.20800000000000002,86.4,-2.6,-0.2,0.30920000000000003,0.4072,0.792,4.6152,0.02762,0.010280000000000001,-1.4,0.6,2.0,11.2,10,1.03,27,32,5,-0.46296897772629375,0.14477440629240002,Speedy Slap Hitter
78,Alex Gordon,3B,R,73.5,210,29.77416666666667,27.3,0.153,0.09616666666666666,0.21208333333333332,102.0,8.166666666666666,1.1666666666666667,0.33899999999999997,0.40975,0.7879166666666667,4.570691666666667,0.027083333333333334,0.015666666666666666,7.833333333333333,8.166666666666666,7.3,71.2,24,3.0375,23,36,2,-0.7346186281981507,-1.9251999473467292,Solid Contributor
79,Alex Kirilloff,1B,R,74.5,225,27.456666666666667,28.5,0.16533333333333333,0.078,0.23033333333333336,103.70637408568443,-5.333333333333333,-0.6666666666666666,0.3223333333333333,0.42933333333333334,0.7696666666666667,4.530966666666667,0.038700000000000005,0.007699999999999999,-3.6666666666666665,-3.0,0.5,2.8,6,0.45,23,25,1,1.0695046266659347,0.6143290732507357,High-K Power Threat
80,Alex Ochoa,DH,R,74.0,230,29.77,29.5,0.2025,0.09475,0.10800000000000001,118.75,6.0,-0.25,0.36275,0.49475,0.892,6.119199999999999,0.0284,0.023775,9.0,0.0,2.6,8.4,4,2.1825,28,30,4,1.7190625781144524,-2.7368058871196617,Franchise Cornerstone
81,Alex Presley,LF,R,73.0,210,29.771428571428572,27.7,0.11985714285714286,0.05257142857142857,0.17742857142857144,99.85714285714286,-2.2857142857142856,0.8571428571428571,0.323,0.40385714285714286,0.8225714285714286,3.6027,0.015614285714285716,0.0222,-3.857142857142857,-2.857142857142857,1.5,3.6,7,0.7142857142857143,25,31,3,-0.9750170017152494,-0.16713826224963926,Power Contact Hitter
82,Alex Verdugo,DH,R,74.0,230,28.875,29.5,0.136875,0.075,0.1615,98.16569767441861,5.125,0.5,0.32737499999999997,0.40875,0.8385,3.9705500000000002,0.0393,0.0139375,1.75,3.75,2.9,29.8,16,1.71875,22,28,2,-1.1217499566337674,-1.7187885878395308,Solid Contributor
83,Alex Wood,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,102.98507462686567,0.0,-1.0,0.32,0.42,0.785,4.725,0.2239,0.0746,0.0,0.0,0.2,0.4,2,0.2,24,24,0,-0.571287311423374,2.5447251721497866,Bench/Utility Role
84,Alexei RamÃ­rez,2B,R,71.5,185,31.255,25.4,0.12687500000000002,0.04825,0.11750000000000001,90.875,4.0,1.0,0.310125,0.400375,0.8825000000000001,3.9642625,0.0223875,0.026949999999999998,1.375,4.0,5.6,46.8,16,2.925,26,33,2,-2.16012355601533,-2.075484133668914,Solid Contributor
85,Alexi Amarista,DH,R,74.0,230,29.439999999999998,29.5,0.09899999999999999,0.06033333333333333,0.14533333333333334,79.0,4.0,1.3333333333333333,0.2846666666666666,0.3376666666666666,0.8546666666666667,2.886066666666667,0.009899999999999999,0.021633333333333334,-1.6666666666666667,4.0,1.8,4.2,3,1.0666666666666667,23,25,5,-3.706608045367444,-1.2549338023820007,Speedy Slap Hitter
86,Alexi Casilla,2B,R,71.5,185,31.238,25.4,0.11000000000000001,0.0716,0.14020000000000002,88.0,3.0,2.4,0.3176,0.37560000000000004,0.8598000000000001,3.44032,0.0301,0.03936,-2.4,3.2,2.0,13.2,10,1.41,23,28,5,-2.5972959072131108,-0.9682549519031985,Speedy Slap Hitter
87,Alexis GÃ³mez,DH,R,74.0,230,31.5,29.5,0.15,0.085,0.215,99.09909909909909,3.0,1.0,0.32,0.42,0.785,4.725,0.1351,0.045,0.0,0.0,0.3,0.6,2,0.3,27,27,0,-0.8059754354671436,1.4573250940676978,Bench/Utility Role
88,Alfonso Rivas III,DH,R,74.0,230,29.555,29.5,0.11099999999999999,0.093,0.259,86.28165938864629,4.0,0.0,0.321,0.3635,0.741,3.2889999999999997,0.038000000000000006,0.02135,3.5,4.0,0.6,2.0,4,0.45,25,26,5,-2.146508177932519,0.2958049307011383,Speedy Slap Hitter
89,Alfonso Soriano,2B,R,71.5,185,30.653684210526315,25.4,0.24389473684210525,0.06221052631578947,0.20942105263157895,119.36842105263158,-3.263157894736842,1.894736842105263,0.3294736842105263,0.5220526315789474,0.790578947368421,7.48218947368421,0.05090526315789473,0.03425263157894737,-1.368421052631579,-1.6842105263157894,6.1,64.1,19,3.3910526315789475,26,37,4,3.3530288980240153,0.41573917554569934,Franchise Cornerstone
90,Alfredo AmÃ©zaga,DH,R,74.0,230,30.603333333333335,29.5,0.09000000000000001,0.07366666666666666,0.12566666666666668,74.33333333333333,11.333333333333334,0.0,0.32266666666666666,0.35233333333333333,0.8743333333333334,2.7451666666666665,0.0070999999999999995,0.0352,2.0,11.0,2.3,9.0,6,1.2666666666666666,28,30,2,-4.273706577999834,-2.4844605556567383,Solid Contributor
91,Allen Craig,RF,R,73.5,215,28.8075,28.0,0.18675,0.07400000000000001,0.18725,131.34677419354838,-0.75,-0.5,0.35225,0.48850000000000005,0.81275,5.373575,0.059275,0.01765,1.75,-1.0,2.7,15.2,8,1.575,25,28,4,2.296778568009949,-0.7114234934900355,Franchise Cornerstone
