name,season,actual_war,predicted_war,error,abs_error,tier
Gio Urshela,2023,0.7,2.14,1.4400000000000002,1.4400000000000002,0-1
Gleyber Torres,2023,2.9,2.19,-0.71,0.71,2-3
Ha-Seong Kim,2023,5.4,3.68,-1.7200000000000002,1.7200000000000002,5-6
Hanser Alberto,2023,0.3,1.11,0.81,0.81,0-1
Harold RamÃ­rez,2023,2.0,1.23,-0.77,0.77,1-2
Harrison Bader,2023,0.6,2.26,1.6599999999999997,1.6599999999999997,0-1
Ian Happ,2023,3.5,2.13,-1.37,1.37,3-4
Ildemaro Vargas,2023,0.8,1.25,0.44999999999999996,0.44999999999999996,0-1
Isiah Kiner-Falefa,2023,0.0,3.17,3.17,3.17,<0
J.D. Davis,2023,0.9,1.04,0.14,0.14,0-1
J.D. Martinez,2023,2.0,1.66,-0.3400000000000001,0.3400000000000001,1-2
J.P. Crawford,2023,5.2,2.32,-2.8800000000000003,2.8800000000000003,5-6
J.T. Realmuto,2023,3.5,3.81,0.31000000000000005,0.31000000000000005,3-4
Jake Cronenworth,2023,0.8,3.43,2.63,2.63,0-1
Jake Fraley,2023,0.8,1.16,0.3599999999999999,0.3599999999999999,0-1
Jake Lamb,2023,0.1,1.56,1.46,1.46,0-1
Jake Marisnick,2023,0.4,0.66,0.26,0.26,0-1
Jake McCarthy,2023,0.4,1.8,1.4,1.4,0-1
Jake Meyers,2023,1.5,0.8,-0.7,0.7,1-2
James McCann,2023,0.5,1.26,0.76,0.76,0-1
Jason Heyward,2023,1.9,1.55,-0.34999999999999987,0.34999999999999987,1-2
Javier BÃ¡ez,2023,0.8,1.86,1.06,1.06,0-1
Jazz Chisholm Jr.,2023,1.0,1.93,0.9299999999999999,0.9299999999999999,0-1
Jeff McNeil,2023,2.4,3.04,0.6400000000000001,0.6400000000000001,2-3
Jeimer Candelario,2023,3.3,1.81,-1.4899999999999998,1.4899999999999998,3-4
JesÃºs SÃ¡nchez,2023,1.5,1.59,0.09000000000000008,0.09000000000000008,1-2
Joc Pederson,2023,0.7,1.68,0.98,0.98,0-1
Joey Gallo,2023,0.5,1.9,1.4,1.4,0-1
Jon Berti,2023,2.2,1.66,-0.5400000000000003,0.5400000000000003,2-3
Jordan Luplow,2023,0.0,1.09,1.09,1.09,<0
Jorge Mateo,2023,0.8,2.36,1.5599999999999998,1.5599999999999998,0-1
Jorge Polanco,2023,1.9,1.86,-0.039999999999999813,0.039999999999999813,1-2
Jorge Soler,2023,1.5,0.82,-0.68,0.68,1-2
Jose Altuve,2023,2.8,3.09,0.29000000000000004,0.29000000000000004,2-3
Jose Trevino,2023,0.5,1.39,0.8899999999999999,0.8899999999999999,0-1
Josh Donaldson,2023,0.1,1.53,1.43,1.43,0-1
Josh Naylor,2023,2.3,1.45,-0.8499999999999999,0.8499999999999999,2-3
Josh Rojas,2023,0.5,2.32,1.8199999999999998,1.8199999999999998,0-1
JosÃ© RamÃ­rez,2023,4.9,4.63,-0.27000000000000046,0.27000000000000046,4-5
Juan Soto,2023,5.3,4.59,-0.71,0.71,5-6
Justin Turner,2023,2.1,1.4,-0.7000000000000002,0.7000000000000002,2-3
Ke'Bryan Hayes,2023,3.9,3.36,-0.54,0.54,3-4
